Name of District,Name of Police Station,Location of Accident Spot,Name of Road,Road No,Type of road,Precise Landmark(Starting Point),Ending Point,Total accidents (Fatal+Grievous),Total Fatalities,"GEOGRAPHICAL COORDINATES (STARTING POINT (LAT,LONG))","ENDING POINT (LAT,LONG)"
Thiruvananthapuram,Attingal,Korani,Panvel - Kanyakumari Road,NH - 66,NH,FROM 18th MILE ,"TOLL JN, KORANI",48,19,"8.670323, 76.835330","8.664764, 76.838972"
Thiruvananthapuram,City Traffic Police Station,Pattom to Plamoodu,Panvel - Kanyakumari Road,NH - 66,NH,Pattom,Plamoodu,258,14,"8.518554, 76.942560","8.514050, 76.946074"
Thiruvananthapuram,City Traffic Police Station,Ananthapuri to Chakkai,Panvel - Kanyakumari Road,NH - 66,NH,Ananthapuri Hospital,Chakkai,197,13,"8.486712, 76.927492","8.488943, 76.925489"
Thiruvananthapuram,City Traffic Police Station,Sreekaryam to Pangapara,Panvel - Kanyakumari Road,NH - 66,NH,Sreekariyam,Chavadimukku,160,12,"8.548794, 76.917229","8.550935, 76.911028"
Thiruvananthapuram,City Traffic Police Station,East Fort to Attakulangara,MG Road (C-02),SH,SH,Pazhavangadi,Attakulangara,123,15,"8.479386, 76.947470","8.479413, 76.941472"
Thiruvananthapuram,Nedumangad,Kutcherry Jn.,Other Road,,OR,MARKET JN (PONNARA SREEDHAR PARK),PALAYAM JN (SBI BRANCH OFFICE NDD),39,4,"8.60273371 ,77.002752","8.60786 ,77.002736"
Thiruvananthapuram,Neyyattinkara,Pathankallu,Panvel - Kanyakumari Road,NH - 66,NH,ROLLANDS HOSPITAL ," BISHOP HOUSE, ",58,20,"8.410275 ,77.070435","8.41101, 77.06832"
Thiruvananthapuram,Neyyattinkara,Aralumood,Panvel - Kanyakumari Road,NH - 66,NH,KAL,GULAN THATTUKADA,48,20,"8.414207 ,77.061906","8.417264 ,77.059031"
Thiruvananthapuram,Neyyattinkara,Amaravila Toll Jn,Panvel - Kanyakumari Road,NH - 66,NH,AMARAVILA TOLL JN ,KRISHNAPURAM GRAMAM,42,13,"8.388386 , 77.099798 ","8.391174 ,77.096458"
Kollam,Chathannur,Chathannur Jn.,Panvel - Kanyakumari Road,NH - 66,NH,CHATHANNOOR BUS STOP,SBI ATM,46,27,"8.862875 , 76.716882","8.863700, 76.712325"
Kollam,Chathannur,Seematty Jn. to Karamkodu,Panvel - Kanyakumari Road,NH - 66,NH,SEEMATTY JN,KARAMCODE,29,10,"8.850271 ,76.732919","8.846331 ,76.734273"
Kollam,Chavara,Neendakara,Panvel - Kanyakumari Road,NH - 66,NH,NEENDAKARA BRIDGE BUS STOP,NEAR CHAKKOLA BAKERS,43,20,"8.938407 , 76.544190","8.940802, 76.540299"
Kollam,Chavara,Chavara Jn.,Panvel - Kanyakumari Road,NH - 66,NH,CHAVARA JN.,SPRINKLE CAFE,34,15,"8.972980 , 76.534474","8.977367, 76.534801"
Kollam,Chavara,Sangaramangalam to Titanium,Panvel - Kanyakumari Road,NH - 66,NH,SANKARAMANGALAM,TITANIUM,36,9,"8.994824 ,76.532814","8.999245, 76.533861"
Kollam,Chavara,Kuttivattom,Panvel - Kanyakumari Road,NH - 66,NH,KUTTIVATTOM,VADAKKUMTHALA,29,9,"9.02885 , 76.542963","9.032917, 76.542736"
Kollam,Chavara,Parimanom,Panvel - Kanyakumari Road,NH - 66,NH,PETROL PUMP,PARIMANAM,23,28,"8.952781 ,76.534920","8.957016, 76.533349"
Kollam,Karunagappally,Kannetti to Karunagappally Jn.,Panvel - Kanyakumari Road,NH - 66,NH,LALAJI JN,KAROTTU JN,78,30,"9.049287 , 76.536024","9.044883, 76.535"
Kollam,Karunagappally,Karunagappally HS Jn and THQ Jn.,Panvel - Kanyakumari Road,NH - 66,NH,HIGH SCHOOL JN,HOSPITAL JN,46,22,"9.059257 , 76.535633","9.063347, 76.534818"
